claim_id,insatisfaction,Nb Flux manuel,Nb de flux auto,Nb Intervenants sur le dossier,Nb Appels,delai_total,claim_creation_to_closure_duration,compensation_balance_amount,time_to_fnol,manual_vs_auto_flux,closure_reason_name,claim_situation,personnalized_management_flag,victim_flag,victim_count,textblob_verbatim_sentiment,textblob_verbatim_objectivity,vader_verbatim_polarity,post_remboursement_voc_note,repairs_main_note,simplicity_process_note,assessment_quality_note,assessment_time_note,claim_created_day_of_week,claim_created_month,claim_created_year,nb_events,nb_activities_uniques,nb_rework,taux_rework,nb_resources,duree_totale_heures,duree_moyenne_activite,duree_max_activite,cout_total,cout_moyen,has_appel_entrant_relance,has_reaffectation_dossier,has_contre_expertise,has_traitement_piece_complementaire,has_appel_sortant_societaire,nb_reclamations,has_reclamation,reclamation_level_max,nb_origins_reclamation
21899268,0,1,5,1,0,0.9590162037037036,0,477.9700012207031,14,0.1666666666666666,autre,CLOS,0.0,0,0,1.0,1.0,0.0,5.0,5.0,5.0,5.0,5.0,4,1,2023,13.0,13.0,13.0,1.0,11.0,1237.7713888888889,95.21318376068376,1028.0,176.5,13.576923076923077,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
83594506,0,4,4,1,0,5.959016203703704,5,866.8099975585938,13,0.5,Clos après indemnisation,CLOS,0.0,0,0,0.0999999999999999,0.4000000000000001,0.0,4.0,4.0,4.0,4.0,4.0,2,9,2020,11.0,11.0,0.0,0.0,9.0,1146.8516666666667,104.25924242424243,878.0,165.5,15.045454545454545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47706100,1,7,3,1,0,5.959016203703704,5,750.97998046875,19,0.7,Clos après indemnisation,CLOS,0.0,0,0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,0,10,2020,13.0,13.0,0.0,0.0,12.0,277.4583333333333,21.342948717948715,40.52305555555556,63.5,4.884615384615385,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15603293,0,1,4,1,0,4.959016203703704,4,889.27001953125,8,0.2,Clos après indemnisation,CLOS,0.0,0,0,0.3,0.2,0.0,5.0,5.0,5.0,5.0,5.0,3,10,2020,13.0,13.0,13.0,1.0,10.0,295.7088888888889,22.74683760683761,54.0,57.5,4.423076923076923,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
57692097,0,3,3,1,0,3.959016203703704,3,1121.56005859375,1,0.5,Clos après indemnisation,CLOS,0.0,0,0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,2,10,2020,12.0,12.0,0.0,0.0,10.0,325.0863888888889,27.09053240740741,51.0,56.5,4.708333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67001830,0,5,4,2,0,2.959016203703704,2,788.9600219726562,15,0.5555555555555556,Clos après indemnisation,CLOS,0.0,0,0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,1,10,2020,13.0,13.0,0.0,0.0,9.0,317.9525,24.457884615384614,48.0,63.5,4.884615384615385,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14311740,0,2,3,1,0,3.959016203703704,3,64.9800033569336,21,0.4,Clos après indemnisation,CLOS,0.0,0,0,0.03,0.325,0.0,5.0,5.0,5.0,5.0,5.0,0,12,2020,10.0,10.0,0.0,0.0,9.0,222.8738888888889,22.28738888888889,63.0,44.0,4.4,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
73372825,0,1,3,1,0,0.9590162037037036,0,138.1799926757812,10,0.25,autre,CLOS,0.0,0,0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,3,7,2023,10.0,10.0,0.0,0.0,9.0,268.5647222222222,26.85647222222222,42.6825,31.0,3.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39066683,0,0,2,1,0,133.9590162037037,133,664.4400024414062,64,0.0,Clos après indemnisation,CLOS,0.0,0,0,0.5249999999999999,0.55,0.0,4.0,4.0,4.0,4.0,4.0,2,7,2023,11.0,11.0,0.0,0.0,9.0,360.2272222222222,32.74792929292929,46.8825,48.5,4.409090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41899238,1,42,5,5,0,229.9590162037037,229,1023.590026855469,10,0.8936170212765957,Clos après indemnisation,RECLOS,1.0,0,0,0.0,0.0,0.4588,5.0,5.0,5.0,5.0,5.0,2,11,2021,12.0,12.0,0.0,0.0,11.0,322.68444444444447,26.890370370370373,47.58111111111111,56.5,4.708333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33793356,0,1,3,1,0,0.9590162037037036,0,702.5599975585938,9,0.25,autre,CLOS,0.0,0,0,0.135,0.3,0.0,5.0,5.0,5.0,5.0,5.0,2,9,2023,11.0,11.0,0.0,0.0,11.0,702.7630555555555,63.887550505050505,488.0,165.5,15.045454545454545,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
